RANK,TEAM,W,D,L,GF,GA,PTS,ATT,PL,AGE,POSS,SEASON,LEAGUE
17,Arminia,5,13,16,27,53,28,"16,773",26,25.8,40.5,2022,BUNDESLIGA
14,Augsburg,10,8,16,39,56,38,"15,197",26,26.6,41.2,2022,BUNDESLIGA
1,Bayern Munich,24,5,5,97,37,77,"33,176",30,26.8,64.8,2022,BUNDESLIGA
13,Bochum,12,6,16,38,52,42,"15,125",28,28.0,44.5,2022,BUNDESLIGA
2,Dortmund,22,3,9,85,52,69,"41,800",33,25.9,59.6,2022,BUNDESLIGA
11,Eint Frankfurt,10,12,12,45,49,42,"26,162",27,26.2,49.6,2022,BUNDESLIGA
6,Freiburg,15,10,9,58,46,55,"18,741",26,26.5,49.2,2022,BUNDESLIGA
18,Greuther Fürth,3,9,22,28,82,18,"7,672",29,25.9,43.4,2022,BUNDESLIGA
16,Hertha BSC,9,6,19,37,71,33,"23,500",36,26.7,43.5,2022,BUNDESLIGA
9,Hoffenheim,13,7,14,58,60,46,"11,227",32,26.1,53.6,2022,BUNDESLIGA
7,Köln,14,10,10,52,49,52,"31,965",26,27.0,55.1,2022,BUNDESLIGA
3,Leverkusen,19,7,8,80,47,64,"17,356",29,24.4,53.9,2022,BUNDESLIGA
10,M'Gladbach,12,9,13,54,61,45,"26,539",26,26.0,54.4,2022,BUNDESLIGA
8,Mainz 05,13,7,14,50,45,46,"17,978",28,26.2,46.3,2022,BUNDESLIGA
4,RB Leipzig,17,7,10,72,37,58,"22,124",29,25.3,56.6,2022,BUNDESLIGA
15,Stuttgart,7,12,15,41,59,33,"27,052",34,24.0,50.7,2022,BUNDESLIGA
5,Union Berlin,16,9,9,50,44,57,"14,046",28,28.3,43.4,2022,BUNDESLIGA
12,Wolfsburg,12,6,16,43,54,42,"12,018",30,26.0,50.6,2022,BUNDESLIGA
15,Arminia,9,8,17,26,52,35,321,26,26.0,42.2,2021,BUNDESLIGA
13,Augsburg,10,6,18,36,54,36,353,25,27.0,41.3,2021,BUNDESLIGA
1,Bayern Munich,24,6,4,99,44,78,15,29,27.3,61.1,2021,BUNDESLIGA
3,Dortmund,20,4,10,75,46,64,"1,241",26,25.6,59.8,2021,BUNDESLIGA
5,Eint Frankfurt,16,12,6,69,53,60,853,25,27.2,54.0,2021,BUNDESLIGA
10,Freiburg,12,9,13,52,52,45,188,24,26.2,47.0,2021,BUNDESLIGA
14,Hertha BSC,8,11,15,41,52,35,471,32,25.4,49.4,2021,BUNDESLIGA
11,Hoffenheim,11,10,13,52,54,43,361,30,25.7,51.1,2021,BUNDESLIGA
16,Köln,8,9,17,34,60,33,35,28,24.9,46.3,2021,BUNDESLIGA
6,Leverkusen,14,10,10,53,39,52,355,30,25.4,59.9,2021,BUNDESLIGA
8,M'Gladbach,13,10,11,64,56,49,628,23,26.9,51.9,2021,BUNDESLIGA
12,Mainz 05,10,9,15,39,56,39,221,31,25.8,40.5,2021,BUNDESLIGA
2,RB Leipzig,19,8,7,60,32,65,"1,059",25,25.0,60.0,2021,BUNDESLIGA
18,Schalke 04,3,7,24,25,86,16,18,42,25.9,44.6,2021,BUNDESLIGA
9,Stuttgart,12,9,13,56,55,45,978,29,24.1,51.5,2021,BUNDESLIGA
7,Union Berlin,12,14,8,50,43,50,912,27,27.3,44.9,2021,BUNDESLIGA
17,Werder Bremen,7,10,17,36,57,31,518,27,26.3,43.8,2021,BUNDESLIGA
4,Wolfsburg,17,10,7,61,37,61,538,26,25.6,51.4,2021,BUNDESLIGA
15,Augsburg,9,9,16,45,63,36,"20,265",25,27.6,52.3,2020,BUNDESLIGA
1,Bayern Munich,26,4,4,100,32,82,"57,353",28,26.6,70.4,2020,BUNDESLIGA
2,Dortmund,21,6,7,84,41,69,"57,297",28,26.5,55.3,2020,BUNDESLIGA
9,Eint Frankfurt,13,6,15,59,60,45,"35,435",26,25.9,49.5,2020,BUNDESLIGA
8,Freiburg,13,9,12,48,47,48,"16,888",27,25.1,48.4,2020,BUNDESLIGA
10,Hertha BSC,11,8,15,48,59,41,"37,689",26,26.2,40.5,2020,BUNDESLIGA
6,Hoffenheim,15,7,12,53,53,52,"20,449",23,24.8,49.0,2020,BUNDESLIGA
14,Köln,10,6,18,51,69,36,"35,094",23,25.1,42.8,2020,BUNDESLIGA
5,Leverkusen,19,6,9,61,44,63,"21,236",22,24.9,51.7,2020,BUNDESLIGA
4,M'Gladbach,20,5,9,66,40,65,"36,078",19,25.7,53.5,2020,BUNDESLIGA
13,Mainz 05,11,4,19,44,65,37,"20,694",29,25.3,48.9,2020,BUNDESLIGA
18,Paderborn 07,4,8,22,37,74,20,"11,038",24,26.8,43.2,2020,BUNDESLIGA
12,Schalke 04,9,12,13,38,58,39,"46,681",29,25.2,51.1,2020,BUNDESLIGA
16,Werder Bremen,8,7,19,42,69,31,"26,413",31,25.7,43.4,2020,BUNDESLIGA
