RANK,TEAM,W,D,L,GF,GA,PTS,ATT,PL,AGE,POSS,SEASON
5,Arsenal,22,3,13,61,48,69,"59,665",27,24.4,53.2,2022
14,Aston Villa,13,6,19,52,54,45,"41,681",31,26.1,46.5,2022
13,Brentford,13,7,18,48,56,46,"16,918",29,25.4,44.5,2022
9,Brighton,12,15,11,42,44,51,"30,966",26,26.2,54.7,2022
18,Burnley,7,14,17,34,53,35,"19,278",23,28.5,39.8,2022
3,Chelsea,21,11,6,76,33,74,"36,443",26,27.4,62.3,2022
12,Crystal Palace,11,15,12,50,46,48,"24,588",24,27.1,50.9,2022
16,Everton,11,6,21,43,66,39,"38,446",33,26.7,39.7,2022
17,Leeds United,9,11,18,42,79,38,"36,308",29,26.1,52.5,2022
8,Leicester City,14,10,14,62,59,52,"32,493",28,26.5,52.1,2022
2,Liverpool,28,8,2,94,26,92,"53,352",27,27.7,63.3,2022
1,Manchester City,29,6,3,99,26,93,"52,774",26,27.0,68.5,2022
6,Manchester Utd,16,10,12,57,57,58,"73,150",29,27.2,52.9,2022
11,Newcastle Utd,13,10,15,44,62,49,"51,487",29,27.5,39.9,2022
20,Norwich City,5,7,26,23,84,22,"26,836",28,26.2,42.5,2022
15,Southampton,9,13,16,43,67,40,"30,134",25,25.7,47.9,2022
4,Tottenham,22,5,11,69,40,71,"56,523",25,26.5,52.0,2022
19,Watford,6,5,27,34,77,23,"20,614",30,28.4,40.3,2022
7,West Ham,16,8,14,60,51,56,"58,370",25,28.2,47.8,2022
10,Wolves,15,6,17,38,43,51,"30,841",26,27.3,49.6,2022
8,Arsenal,18,7,13,55,39,61,632,29,25.9,53.8,2021
11,Aston Villa,16,7,15,55,46,55,526,24,25.2,48.1,2021
16,Brighton,9,14,15,40,46,41,523,27,25.8,51.3,2021
17,Burnley,10,9,19,33,55,39,178,25,28.3,41.7,2021
4,Chelsea,19,10,9,58,36,67,526,27,26.0,61.4,2021
14,Crystal Palace,12,8,18,41,66,44,447,24,29.1,40.1,2021
10,Everton,17,8,13,47,48,59,368,29,26.3,46.5,2021
18,Fulham,5,13,20,27,53,28,211,28,25.2,49.9,2021
9,Leeds United,18,5,15,62,54,59,421,23,26.1,57.6,2021
5,Leicester City,20,6,12,68,50,66,421,27,26.5,54.6,2021
3,Liverpool,20,9,9,68,42,69,837,28,26.8,62.4,2021
1,Manchester City,27,5,6,83,32,86,526,24,26.1,63.9,2021
2,Manchester Utd,21,11,6,73,44,74,526,29,25.6,55.8,2021
12,Newcastle Utd,12,9,17,46,62,45,526,27,27.1,38.2,2021
20,Sheffield Utd,7,2,29,20,63,23,263,27,26.7,41.5,2021
15,Southampton,12,7,19,47,68,43,526,29,26.6,52.2,2021
7,Tottenham,18,8,12,68,45,62,632,24,27.2,51.7,2021
19,West Brom,5,11,22,35,76,26,283,30,26.4,37.6,2021
6,West Ham,19,8,11,62,47,65,632,24,27.8,42.9,2021
13,Wolves,12,9,17,36,52,45,237,27,26.3,49.3,2021
8,Arsenal,14,14,10,56,48,56,"47,589",29,25.8,54.0,2020
17,Aston Villa,9,8,21,41,67,35,"28,505",28,25.7,43.9,2020
18,Bournemouth,9,7,22,40,65,34,"7,745",27,25.2,43.8,2020
15,Brighton,9,14,15,39,54,41,"22,369",25,26.4,52.2,2020
10,Burnley,15,9,14,43,50,54,"15,995",22,28.0,41.4,2020
4,Chelsea,20,6,12,69,54,66,"32,023",27,25.5,60.7,2020
14,Crystal Palace,11,10,17,31,50,43,"19,784",25,29.4,44.5,2020
12,Everton,13,10,15,44,56,49,"28,848",24,25.5,49.2,2020
5,Leicester City,18,8,12,67,41,62,"25,312",24,26.1,57.6,2020
1,Liverpool,32,3,3,85,33,99,"41,955",24,26.6,63.4,2020
2,Manchester City,26,3,9,102,35,81,"37,097",24,26.9,66.9,2020
3,Manchester Utd,18,12,8,66,36,66,"57,415",29,24.8,56.2,2020
13,Newcastle Utd,11,11,16,38,58,44,"35,551",28,26.5,38.6,2020
20,Norwich City,5,6,27,26,75,21,"19,913",30,26.0,49.3,2020
9,Sheffield Utd,14,12,12,39,39,54,"24,370",26,26.9,43.1,2020
11,Southampton,15,7,16,51,60,52,"23,428",25,25.9,49.3,2020
6,Tottenham,16,11,11,61,47,59,"43,757",29,26.7,52.2,2020
19,Watford,8,10,20,36,64,34,"15,353",26,28.9,42.5,2020
16,West Ham,10,9,19,49,62,39,"44,155",29,27.4,44.0,2020
7,Wolves,15,14,9,51,40,59,"24,758",21,26.6,48.3,2020
5,Arsenal,21,7,10,73,51,70,"59,899",28,26.7,58.0,2019
14,Bournemouth,13,6,19,56,70,45,"10,532",28,26.6,46.8,2019
17,Brighton,9,9,20,35,60,36,"30,426",21,27.4,42.6,2019
15,Burnley,11,7,20,45,68,40,"20,534",23,28.0,41.2,2019
18,Cardiff City,10,4,24,34,69,34,"31,408",25,27.7,35.6,2019
3,Chelsea,21,9,8,63,39,72,"40,437",24,27.3,62.8,2019
12,Crystal Palace,14,7,17,51,53,49,"25,455",26,27.4,45.0,2019
8,Everton,15,9,14,54,46,54,"39,043",23,25.7,51.5,2019
19,Fulham,7,5,26,34,81,26,"24,371",28,26.0,48.6,2019
20,Huddersfield,3,7,28,22,76,16,"23,203",31,26.2,47.0,2019
9,Leicester City,15,7,16,51,48,52,"31,851",25,25.9,51.1,2019
2,Liverpool,30,7,1,89,22,97,"52,983",23,26.1,61.7,2019
1,Manchester City,32,2,4,95,23,98,"54,130",21,26.7,67.8,2019
6,Manchester Utd,19,9,10,65,54,66,"74,498",28,26.3,54.5,2019
13,Newcastle Utd,12,9,17,42,48,45,"51,121",24,26.9,40.4,2019
16,Southampton,9,12,17,45,65,39,"30,139",30,25.4,43.9,2019
4,Tottenham,23,2,13,67,39,71,"54,216",28,26.8,58.9,2019
11,Watford,14,8,16,52,59,50,"20,016",25,28.5,47.1,2019
10,West Ham,15,7,16,52,55,52,"58,336",26,27.6,48.7,2019
7,Wolves,16,9,13,47,46,57,"31,030",21,26.1,46.9,2019
5,Arsenal,21,7,10,73,51,70,"59,899",30,26.8,61.5,2018
14,Bournemouth,13,6,19,56,70,45,"10,532",22,26.9,47.8,2018
17,Brighton,9,9,20,35,60,36,"30,426",24,27.5,43.7,2018
15,Burnley,11,7,20,45,68,40,"20,534",24,27.5,43.9,2018
3,Chelsea,21,9,8,63,39,72,"40,437",26,26.7,55.4,2018
12,Crystal Palace,14,7,17,51,53,49,"25,455",28,27.1,45.3,2018
8,Everton,15,9,14,54,46,54,"39,043",30,26.7,45.9,2018
20,Huddersfield,3,7,28,22,76,16,"23,203",25,26.4,45.7,2018
9,Leicester City,15,7,16,51,48,52,"31,851",27,27.2,47.9,2018
2,Liverpool,30,7,1,89,22,97,"52,983",27,25.6,60.5,2018
1,Manchester City,32,2,4,95,23,98,"54,130",25,26.4,71.1,2018
6,Manchester Utd,19,9,10,65,54,66,"74,498",27,26.7,54.8,2018
13,Newcastle Utd,12,9,17,42,48,45,"51,121",27,25.6,41.7,2018
16,Southampton,9,12,17,45,65,39,"30,139",26,26.2,51.5,2018
4,Tottenham,23,2,13,67,39,71,"54,216",25,25.8,61.9,2018
11,Watford,14,8,16,52,59,50,"20,016",29,27.9,49.6,2018
10,West Ham,15,7,16,52,55,52,"58,336",27,28.0,45.0,2018
5,Arsenal,21,7,10,73,51,70,"59,899",29,26.9,58.9,2017
14,Bournemouth,13,6,19,56,70,45,"10,532",27,27.0,51.5,2017
15,Burnley,11,7,20,45,68,40,"20,534",27,27.7,40.3,2017
3,Chelsea,21,9,8,63,39,72,"40,437",24,27.2,55.1,2017
12,Crystal Palace,14,7,17,51,53,49,"25,455",31,27.7,45.4,2017
8,Everton,15,9,14,54,46,54,"39,043",27,27.5,52.1,2017
9,Leicester City,15,7,16,51,48,52,"31,851",25,27.8,41.9,2017
2,Liverpool,30,7,1,89,22,97,"52,983",23,26.1,62.0,2017
1,Manchester City,32,2,4,95,23,98,"54,130",25,28.5,65.0,2017
6,Manchester Utd,19,9,10,65,54,66,"74,498",31,26.7,56.5,2017
16,Southampton,9,12,17,45,65,39,"30,139",26,26.0,54.4,2017
4,Tottenham,23,2,13,67,39,71,"54,216",24,25.3,60.5,2017
11,Watford,14,8,16,52,59,50,"20,016",33,29.0,46.1,2017
10,West Ham,15,7,16,52,55,52,"58,336",29,27.1,47.1,2017
5,Arsenal,21,7,10,73,51,70,"59,899",25,27.0,58.3,2016
14,Bournemouth,13,6,19,56,70,45,"10,532",28,27.7,51.2,2016
3,Chelsea,21,9,8,63,39,72,"40,437",28,26.8,56.2,2016
12,Crystal Palace,14,7,17,51,53,49,"25,455",30,27.7,45.8,2016
8,Everton,15,9,14,54,46,54,"39,043",31,26.5,51.9,2016
9,Leicester City,15,7,16,51,48,52,"31,851",23,27.7,42.6,2016
2,Liverpool,30,7,1,89,22,97,"52,983",34,25.2,57.2,2016
1,Manchester City,32,2,4,95,23,98,"54,130",25,28.3,56.9,2016
6,Manchester Utd,19,9,10,65,54,66,"74,498",33,25.6,58.5,2016
13,Newcastle Utd,12,9,17,42,48,45,"51,121",31,25.4,46.6,2016
16,Southampton,9,12,17,45,65,39,"30,139",26,26.4,49.2,2016
4,Tottenham,23,2,13,67,39,71,"54,216",24,24.5,57.4,2016
11,Watford,14,8,16,52,59,50,"20,016",25,28.2,45.1,2016
10,West Ham,15,7,16,52,55,52,"58,336",28,26.6,48.4,2016
5,Arsenal,21,7,10,73,51,70,"59,899",29,26.1,56.6,2015
15,Burnley,11,7,20,45,68,40,"20,534",24,27.2,42.5,2015
3,Chelsea,21,9,8,63,39,72,"40,437",25,27.0,55.9,2015
12,Crystal Palace,14,7,17,51,53,49,"25,455",30,27.8,40.4,2015
8,Everton,15,9,14,54,46,54,"39,043",28,27.9,54.7,2015
9,Leicester City,15,7,16,51,48,52,"31,851",28,27.9,43.5,2015
2,Liverpool,30,7,1,89,22,97,"52,983",25,25.2,55.8,2015
1,Manchester City,32,2,4,95,23,98,"54,130",24,28.6,59.8,2015
6,Manchester Utd,19,9,10,65,54,66,"74,498",33,26.0,61.2,2015
