RANK,TEAM,W,D,L,GF,GA,PTS,ATT,PL,AGE,POSS,SEASON,LEAGUE
18,ADO Den Haag,4,10,20,29,76,22,254,37,24.4,42.4,2021,EREDIVISIE
3,AZ Alkmaar,21,8,5,75,41,71,294,25,23.8,55.0,2021,EREDIVISIE
1,Ajax,28,4,2,102,23,88,"1,860",30,24.7,64.0,2021,EREDIVISIE
16,Emmen,7,9,18,40,68,30,317,32,26.6,53.7,2021,EREDIVISIE
5,Feyenoord,16,11,7,64,36,59,"1,912",30,26.3,55.4,2021,EREDIVISIE
11,Fortuna Sittard,12,5,17,50,58,41,324,30,25.6,45.8,2021,EREDIVISIE
7,Groningen,14,8,12,40,37,50,356,29,24.2,49.4,2021,EREDIVISIE
12,Heerenveen,9,12,13,43,49,39,735,24,24.2,47.5,2021,EREDIVISIE
9,Heracles Almelo,12,8,14,42,53,44,340,28,24.2,46.5,2021,EREDIVISIE
2,PSV Eindhoven,21,9,4,74,35,72,471,36,24.1,59.0,2021,EREDIVISIE
15,RKC Waalwijk,7,9,18,33,55,30,116,27,25.1,47.7,2021,EREDIVISIE
8,Sparta R'dam,13,8,13,49,48,47,301,23,26.1,43.5,2021,EREDIVISIE
10,Twente,10,11,13,48,50,41,"1,176",28,23.3,49.6,2021,EREDIVISIE
6,Utrecht,13,14,7,52,41,53,291,31,25.6,49.2,2021,EREDIVISIE
17,VVV-Venlo,6,5,23,43,91,23,84,29,26.9,42.9,2021,EREDIVISIE
4,Vitesse,18,7,9,52,38,61,289,26,25.0,54.6,2021,EREDIVISIE
14,Willem II,8,7,19,40,68,31,348,30,24.6,43.2,2021,EREDIVISIE
13,Zwolle,9,11,14,44,53,38,349,27,24.7,51.1,2021,EREDIVISIE
17,ADO Den Haag,4,7,15,25,54,19,"11,997",34,27.0,43.2,2020,EREDIVISIE
2,AZ Alkmaar,18,2,5,54,17,56,"10,999",24,23.9,60.4,2020,EREDIVISIE
1,Ajax,18,2,5,68,23,56,"53,342",29,25.1,64.2,2020,EREDIVISIE
12,Emmen,9,5,12,32,45,32,"8,164",29,26.3,52.0,2020,EREDIVISIE
3,Feyenoord,14,8,3,50,35,50,"42,244",30,25.7,54.5,2020,EREDIVISIE
16,Fortuna Sittard,6,8,12,29,52,26,"7,975",27,23.2,45.0,2020,EREDIVISIE
9,Groningen,10,5,11,27,26,35,"18,283",25,23.8,48.7,2020,EREDIVISIE
10,Heerenveen,8,9,9,41,41,33,"18,477",24,22.7,51.0,2020,EREDIVISIE
8,Heracles Almelo,10,6,10,40,34,36,"10,307",23,23.9,48.3,2020,EREDIVISIE
4,PSV Eindhoven,14,7,5,54,28,49,"33,625",29,24.0,54.9,2020,EREDIVISIE
18,RKC Waalwijk,4,3,19,27,60,15,"5,609",28,25.0,49.9,2020,EREDIVISIE
11,Sparta R'dam,9,6,11,41,45,33,"10,049",23,25.1,40.3,2020,EREDIVISIE
14,Twente,7,6,13,34,46,27,"27,162",25,23.5,50.3,2020,EREDIVISIE
6,Utrecht,12,5,8,50,34,41,"19,438",30,25.2,52.7,2020,EREDIVISIE
