RANK,TEAM,W,D,L,GF,GA,PTS,ATT,PL,AGE,POSS,SEASON,LEAGUE
16,Alavés,9,11,18,36,57,38,,30,28.7,42.7,2021,LA LIGA
10,Athletic Club,11,13,14,46,42,46,,27,26.6,49.8,2021,LA LIGA
1,Atlético Madrid,26,8,4,67,25,86,,25,27.3,52.4,2021,LA LIGA
3,Barcelona,24,7,7,85,38,79,,25,26.4,65.8,2021,LA LIGA
6,Betis,17,10,11,50,50,61,,25,27.9,53.9,2021,LA LIGA
8,Celta Vigo,14,11,13,55,57,53,91,30,26.6,53.7,2021,LA LIGA
12,Cádiz,11,11,16,36,58,44,,34,28.8,34.3,2021,LA LIGA
20,Eibar,6,12,20,29,52,30,,30,28.2,49.6,2021,LA LIGA
17,Elche,8,12,18,34,55,36,185,30,28.1,47.6,2021,LA LIGA
15,Getafe,9,11,18,28,43,38,,31,26.7,42.8,2021,LA LIGA
9,Granada,13,7,18,47,65,46,,34,27.4,41.0,2021,LA LIGA
18,Huesca,7,13,18,34,53,34,,27,28.0,48.3,2021,LA LIGA
14,Levante,9,14,15,46,57,41,,29,28.0,52.4,2021,LA LIGA
11,Osasuna,11,11,16,37,48,44,,28,27.9,43.1,2021,LA LIGA
2,Real Madrid,25,9,4,67,28,84,,30,27.9,59.7,2021,LA LIGA
5,Real Sociedad,17,11,10,59,38,62,,30,25.0,55.1,2021,LA LIGA
4,Sevilla,24,5,9,53,33,77,,26,28.1,61.2,2021,LA LIGA
13,Valencia,10,13,15,50,53,43,142,30,25.2,46.9,2021,LA LIGA
19,Valladolid,5,16,17,34,57,31,,32,28.1,45.1,2021,LA LIGA
7,Villarreal,15,13,10,60,44,58,253,29,28.0,55.6,2021,LA LIGA
16,Alavés,10,9,19,34,59,39,"12,177",32,27.6,41.1,2020,LA LIGA
11,Athletic Club,13,12,13,41,38,51,"28,039",26,26.7,48.7,2020,LA LIGA
3,Atlético Madrid,18,16,4,51,27,70,"42,236",30,26.1,48.5,2020,LA LIGA
2,Barcelona,25,7,6,86,38,82,"54,223",28,27.8,66.9,2020,LA LIGA
15,Betis,10,11,17,48,60,41,"35,969",27,27.5,57.1,2020,LA LIGA
17,Celta Vigo,7,16,15,37,49,37,"11,995",30,25.8,51.9,2020,LA LIGA
14,Eibar,11,9,18,39,56,42,"4,151",26,29.3,46.3,2020,LA LIGA
20,Espanyol,5,10,23,27,58,25,"16,260",31,27.7,47.3,2020,LA LIGA
8,Getafe,14,12,12,43,37,54,"8,000",30,27.5,44.6,2020,LA LIGA
7,Granada,16,8,14,52,45,56,"11,174",27,26.8,43.7,2020,LA LIGA
18,Leganés,8,12,18,30,51,36,"7,539",29,26.9,43.8,2020,LA LIGA
12,Levante,14,7,17,47,53,49,"13,196",29,27.7,48.4,2020,LA LIGA
19,Mallorca,9,6,23,40,65,33,"10,877",32,26.8,44.6,2020,LA LIGA
10,Osasuna,13,13,12,46,54,52,"11,453",31,27.7,47.5,2020,LA LIGA
1,Real Madrid,26,9,3,70,25,87,"45,833",26,27.6,59.1,2020,LA LIGA
6,Real Sociedad,16,8,14,56,48,56,"21,204",27,24.8,56.6,2020,LA LIGA
4,Sevilla,19,13,6,54,34,70,"25,016",26,27.7,58.4,2020,LA LIGA
9,Valencia,14,11,13,46,53,53,"29,658",28,27.0,48.9,2020,LA LIGA
13,Valladolid,9,15,14,32,43,42,"13,580",30,27.1,44.3,2020,LA LIGA
5,Villarreal,18,6,14,63,49,60,"11,321",25,27.6,53.2,2020,LA LIGA
11,Alavés,13,11,14,39,50,50,"17,295",26,26.7,42.7,2019,LA LIGA
8,Athletic Club,13,14,11,41,45,53,"40,664",27,27.6,50.1,2019,LA LIGA
2,Atlético Madrid,22,10,6,55,29,76,"56,216",29,26.4,49.4,2019,LA LIGA
1,Barcelona,26,9,3,90,36,87,"76,104",30,27.7,64.2,2019,LA LIGA
10,Betis,14,8,16,44,52,50,"44,525",25,26.7,61.7,2019,LA LIGA
17,Celta Vigo,10,11,17,53,62,41,"17,603",28,25.5,51.7,2019,LA LIGA
12,Eibar,11,14,13,46,50,47,"4,896",25,28.5,54.1,2019,LA LIGA
7,Espanyol,14,11,13,48,50,53,"19,388",25,27.7,49.5,2019,LA LIGA
5,Getafe,15,14,9,48,35,59,"11,000",26,27.5,40.8,2019,LA LIGA
18,Girona,9,10,19,37,53,37,"10,948",26,26.6,48.0,2019,LA LIGA
19,Huesca,7,12,19,43,65,33,"6,605",30,26.7,44.7,2019,LA LIGA
13,Leganés,11,12,15,37,43,45,"10,416",29,26.6,42.8,2019,LA LIGA
15,Levante,11,11,16,59,66,44,"20,216",26,26.3,45.6,2019,LA LIGA
20,Rayo Vallecano,8,8,22,41,70,32,"11,928",29,26.6,48.7,2019,LA LIGA
3,Real Madrid,21,5,12,63,46,68,"61,040",27,27.1,60.0,2019,LA LIGA
9,Real Sociedad,13,11,14,45,46,50,"22,310",30,24.9,51.6,2019,LA LIGA
6,Sevilla,17,8,13,62,47,59,"35,993",27,27.9,52.2,2019,LA LIGA
4,Valencia,15,16,7,51,35,61,"39,504",25,26.4,47.1,2019,LA LIGA
16,Valladolid,10,11,17,32,51,41,"18,992",28,27.4,47.0,2019,LA LIGA
14,Villarreal,10,14,14,49,52,44,"16,732",26,27.1,48.3,2019,LA LIGA
14,Alavés,15,2,21,40,50,47,"18,845",30,25.5,39.8,2018,LA LIGA
16,Athletic Club,10,13,15,41,49,43,"37,246",26,26.7,49.7,2018,LA LIGA
2,Atlético Madrid,23,10,5,58,22,79,"52,707",26,26.6,47.3,2018,LA LIGA
1,Barcelona,28,9,1,99,29,93,"67,142",25,27.7,63.1,2018,LA LIGA
6,Betis,18,6,14,60,61,60,"46,781",29,27.1,57.7,2018,LA LIGA
13,Celta Vigo,13,10,15,59,60,49,"16,195",23,25.7,56.1,2018,LA LIGA
9,Eibar,14,9,15,44,50,51,"5,338",27,27.4,52.4,2018,LA LIGA
11,Espanyol,12,13,13,36,42,49,"17,882",25,26.8,46.8,2018,LA LIGA
8,Getafe,15,10,13,42,33,55,"10,428",32,28.2,39.4,2018,LA LIGA
10,Girona,14,9,15,50,59,51,"10,424",25,26.3,46.8,2018,LA LIGA
18,La Coruña,6,11,21,38,76,29,"20,542",32,28.2,46.6,2018,LA LIGA
19,Las Palmas,5,7,26,24,74,22,"16,183",36,27.0,55.1,2018,LA LIGA
17,Leganés,12,7,19,34,51,43,"9,969",28,27.8,42.5,2018,LA LIGA
15,Levante,11,13,14,44,58,46,"18,534",33,25.7,42.5,2018,LA LIGA
20,Málaga,5,5,28,24,61,20,"20,333",37,27.2,44.0,2018,LA LIGA
3,Real Madrid,22,10,6,94,44,76,"66,863",24,27.1,60.5,2018,LA LIGA
12,Real Sociedad,14,7,17,66,59,49,"19,793",27,25.9,56.8,2018,LA LIGA
7,Sevilla,17,7,14,49,58,58,"33,006",31,27.1,54.5,2018,LA LIGA
4,Valencia,22,7,9,65,38,73,"38,607",25,24.8,48.9,2018,LA LIGA
5,Villarreal,18,7,13,57,50,61,"16,779",32,26.6,50.5,2018,LA LIGA
9,Alavés,14,13,11,41,43,55,"18,143",25,25.4,44.4,2017,LA LIGA
7,Athletic Club,19,6,13,53,43,63,"40,948",25,26.8,51.1,2017,LA LIGA
3,Atlético Madrid,23,9,6,70,27,78,"44,737",22,26.9,48.4,2017,LA LIGA
2,Barcelona,28,6,4,116,37,90,"78,678",25,26.9,66.1,2017,LA LIGA
15,Betis,10,9,19,41,64,39,"33,492",27,26.1,47.9,2017,LA LIGA
13,Celta Vigo,13,6,19,53,69,45,"17,028",27,26.1,53.2,2017,LA LIGA
10,Eibar,15,9,14,56,51,54,"5,326",24,26.9,47.8,2017,LA LIGA
8,Espanyol,15,11,12,49,50,56,"20,433",27,27.2,44.0,2017,LA LIGA
20,Granada,4,8,26,30,82,20,"14,890",35,24.7,45.1,2017,LA LIGA
16,La Coruña,8,12,18,43,61,36,"22,521",28,27.7,47.0,2017,LA LIGA
14,Las Palmas,10,9,19,53,74,39,"20,458",29,27.3,59.0,2017,LA LIGA
17,Leganés,8,11,19,36,55,35,"10,182",31,26.3,44.7,2017,LA LIGA
11,Málaga,12,10,16,49,55,46,"22,501",29,26.0,48.4,2017,LA LIGA
19,Osasuna,4,10,24,40,94,22,"14,770",35,26.3,39.0,2017,LA LIGA
1,Real Madrid,29,6,3,106,41,93,"71,977",24,27.0,56.2,2017,LA LIGA
6,Real Sociedad,19,7,12,59,53,64,"21,473",27,26.0,56.7,2017,LA LIGA
4,Sevilla,21,9,8,69,49,72,"32,783",28,26.8,59.2,2017,LA LIGA
18,Sporting Gijón,7,10,21,42,72,31,"23,069",29,26.4,44.4,2017,LA LIGA
12,Valencia,13,7,18,56,65,46,"33,866",31,25.9,48.8,2017,LA LIGA
5,Villarreal,19,10,9,56,33,67,"17,870",27,26.7,49.3,2017,LA LIGA
5,Athletic Club,18,8,12,58,45,62,"41,917",25,27.7,49.9,2016,LA LIGA
3,Atlético Madrid,28,4,6,63,18,88,"46,902",25,25.9,48.5,2016,LA LIGA
1,Barcelona,29,4,5,112,29,91,"74,655",25,28.0,67.1,2016,LA LIGA
10,Betis,11,12,15,34,52,45,"37,832",29,27.4,46.7,2016,LA LIGA
6,Celta Vigo,17,9,12,51,59,60,"18,382",27,26.1,56.4,2016,LA LIGA
14,Eibar,11,10,17,49,61,43,"5,215",28,25.6,45.2,2016,LA LIGA
13,Espanyol,12,7,19,40,74,43,"21,595",26,24.9,46.2,2016,LA LIGA
19,Getafe,9,9,20,37,67,36,"7,498",27,26.7,46.1,2016,LA LIGA
16,Granada,10,9,19,46,69,39,"16,400",28,25.9,44.6,2016,LA LIGA
15,La Coruña,8,18,12,45,61,42,"23,797",25,28.2,47.1,2016,LA LIGA
11,Las Palmas,12,8,18,45,53,44,"21,302",27,27.6,54.6,2016,LA LIGA
20,Levante,8,8,22,37,70,32,"14,661",27,27.2,45.9,2016,LA LIGA
8,Málaga,12,12,14,38,35,48,"21,401",30,28.0,48.8,2016,LA LIGA
