RANK,TEAM,W,D,L,GF,GA,PTS,ATT,PL,AGE,POSS,SEASON,LEAGUE
14,Angers,10,11,17,44,55,41,"7,758",30,27.4,48.7,2022,LIGUE 1
20,Bordeaux,6,13,19,52,91,31,"22,141",39,25.7,47.3,2022,LIGUE 1
11,Brest,13,9,16,49,57,48,"11,804",25,25.4,43.8,2022,LIGUE 1
17,Clermont Foot,9,9,20,38,69,36,"10,569",28,26.9,50.0,2022,LIGUE 1
7,Lens,17,11,10,62,48,62,"28,950",28,26.1,50.8,2022,LIGUE 1
10,Lille,14,13,11,48,48,55,"34,346",26,26.1,50.8,2022,LIGUE 1
16,Lorient,8,12,18,35,63,36,"12,738",29,26.2,44.3,2022,LIGUE 1
8,Lyon,17,11,10,66,51,61,"32,329",30,25.6,58.8,2022,LIGUE 1
2,Marseille,21,8,9,63,38,71,"51,755",27,25.0,62.0,2022,LIGUE 1
19,Metz,6,13,19,35,69,31,"14,876",36,25.9,42.8,2022,LIGUE 1
3,Monaco,20,9,9,65,40,69,"5,877",27,24.4,54.2,2022,LIGUE 1
13,Montpellier,12,7,19,49,61,43,"10,711",26,25.8,48.1,2022,LIGUE 1
9,Nantes,15,10,13,55,48,55,"20,803",26,26.1,43.7,2022,LIGUE 1
5,Nice,20,7,11,52,36,66,"16,055",27,25.0,51.6,2022,LIGUE 1
1,Paris S-G,26,8,4,90,36,86,"41,589",36,27.8,63.4,2022,LIGUE 1
12,Reims,11,13,14,43,44,46,"11,071",35,24.0,42.2,2022,LIGUE 1
4,Rennes,20,6,12,82,40,66,"25,493",28,25.3,56.3,2022,LIGUE 1
18,Saint-Étienne,7,11,20,42,77,32,"21,806",39,25.1,49.3,2022,LIGUE 1
6,Strasbourg,17,12,9,60,43,63,"23,555",26,27.0,49.5,2022,LIGUE 1
15,Troyes,9,11,18,37,53,38,"9,491",35,27.1,44.2,2022,LIGUE 1
13,Angers,12,8,18,40,58,44,,31,27.9,46.2,2021,LIGUE 1
12,Bordeaux,13,6,19,42,56,45,,28,27.6,49.7,2021,LIGUE 1
17,Brest,11,8,19,50,66,41,,26,24.9,49.3,2021,LIGUE 1
20,Dijon,4,9,25,25,73,21,,33,25.7,46.2,2021,LIGUE 1
7,Lens,15,12,11,55,54,57,,27,26.4,51.4,2021,LIGUE 1
1,Lille,24,11,3,64,23,83,209,21,25.4,53.9,2021,LIGUE 1
16,Lorient,11,9,18,50,68,42,,27,26.8,44.6,2021,LIGUE 1
4,Lyon,22,10,6,81,43,76,231,29,25.8,54.9,2021,LIGUE 1
5,Marseille,16,12,10,54,47,60,,31,27.2,53.9,2021,LIGUE 1
10,Metz,12,11,15,44,48,47,498,27,25.7,45.3,2021,LIGUE 1
3,Monaco,24,6,8,76,42,78,,30,24.8,56.0,2021,LIGUE 1
8,Montpellier,14,12,12,60,62,54,,25,28.0,45.3,2021,LIGUE 1
18,Nantes,9,13,16,47,55,40,,25,25.8,43.7,2021,LIGUE 1
9,Nice,15,7,16,50,53,52,,31,23.5,54.5,2021,LIGUE 1
19,Nîmes,9,8,21,40,71,35,,33,25.8,44.4,2021,LIGUE 1
2,Paris S-G,26,4,8,86,28,82,,33,26.7,63.5,2021,LIGUE 1
14,Reims,9,15,14,42,50,42,,29,24.6,44.8,2021,LIGUE 1
6,Rennes,16,10,12,52,40,58,,32,25.5,59.5,2021,LIGUE 1
11,Saint-Étienne,12,10,16,42,54,46,,40,25.4,48.3,2021,LIGUE 1
15,Strasbourg,11,9,18,49,58,42,,26,26.8,45.6,2021,LIGUE 1
19,Amiens,4,11,13,31,50,23,"11,616",27,27.4,45.5,2020,LIGUE 1
11,Angers,11,6,11,28,33,39,"9,825",26,28.0,45.1,2020,LIGUE 1
12,Bordeaux,9,10,9,40,34,37,"23,430",26,26.9,53.9,2020,LIGUE 1
14,Brest,8,10,10,34,37,34,"13,713",24,26.1,49.7,2020,LIGUE 1
16,Dijon,7,9,12,27,37,30,"12,707",28,26.9,46.5,2020,LIGUE 1
4,Lille,15,4,9,35,27,49,"36,404",25,24.3,53.0,2020,LIGUE 1
7,Lyon,11,7,10,42,27,40,"47,299",27,24.8,56.4,2020,LIGUE 1
2,Marseille,16,8,4,41,29,56,"52,805",23,27.1,54.0,2020,LIGUE 1
15,Metz,8,10,10,27,35,34,"16,583",24,25.9,45.3,2020,LIGUE 1
9,Monaco,11,7,10,44,44,40,"6,451",28,26.0,50.8,2020,LIGUE 1
