RANK,TEAM,W,D,L,GF,GA,PTS,ATT,PL,AGE,POSS,SEASON,LEAGUE
10,Belenenses,9,13,12,25,35,40,,29,26.6,45.2,2021,PRIMEIRA LIGA
3,Benfica,23,7,4,69,27,76,,32,27.2,63.0,2021,PRIMEIRA LIGA
13,Boavista,8,12,14,39,49,36,,25,24.1,42.9,2021,PRIMEIRA LIGA
4,Braga,19,7,8,53,33,64,,33,26.5,57.5,2021,PRIMEIRA LIGA
9,Famalicão,10,10,14,40,48,40,,40,22.9,51.0,2021,PRIMEIRA LIGA
11,Gil Vicente FC,11,6,17,33,42,39,,29,26.5,47.9,2021,PRIMEIRA LIGA
15,Marítimo,10,5,19,27,47,35,,33,26.3,44.0,2021,PRIMEIRA LIGA
8,Moreirense,10,13,11,37,43,43,,31,26.1,47.3,2021,PRIMEIRA LIGA
18,Nacional,6,7,21,30,59,25,,30,26.5,46.7,2021,PRIMEIRA LIGA
5,Paços,15,8,11,40,41,53,,27,26.4,46.0,2021,PRIMEIRA LIGA
14,Portimonense,9,8,17,34,41,35,,28,26.0,51.1,2021,PRIMEIRA LIGA
2,Porto,24,8,2,74,29,80,,31,27.3,61.2,2021,PRIMEIRA LIGA
16,Rio Ave,7,13,14,25,40,34,,30,27.6,52.0,2021,PRIMEIRA LIGA
17,SC Farense,7,10,17,31,48,31,,30,27.1,42.7,2021,PRIMEIRA LIGA
6,Santa Clara,13,7,14,44,36,46,125,29,27.1,47.9,2021,PRIMEIRA LIGA
1,Sporting CP,26,7,1,65,20,85,,30,25.5,57.7,2021,PRIMEIRA LIGA
12,Tondela,10,6,18,36,57,36,8,26,26.1,47.9,2021,PRIMEIRA LIGA
7,Vitória,12,7,15,37,44,43,,30,24.7,49.1,2021,PRIMEIRA LIGA
18,Aves,5,2,27,24,68,17,"1,390",44,24.3,41.0,2020,PRIMEIRA LIGA
15,Belenenses,9,8,17,27,54,35,"2,544",41,25.9,49.3,2020,PRIMEIRA LIGA
2,Benfica,24,5,5,71,26,77,"37,044",28,25.4,58.2,2020,PRIMEIRA LIGA
12,Boavista,10,9,15,28,39,39,"8,532",27,27.7,42.7,2020,PRIMEIRA LIGA
3,Braga,18,6,10,61,40,60,"7,473",36,25.5,58.9,2020,PRIMEIRA LIGA
6,Famalicão,14,12,8,53,51,54,"2,929",26,23.7,52.9,2020,PRIMEIRA LIGA
10,Gil Vicente FC,11,10,13,40,44,43,"3,873",27,26.5,47.5,2020,PRIMEIRA LIGA
11,Marítimo,9,12,13,34,42,39,"4,283",30,26.5,47.1,2020,PRIMEIRA LIGA
8,Moreirense,10,13,11,42,44,43,"1,573",27,26.5,43.8,2020,PRIMEIRA LIGA
13,Paços,11,6,17,36,52,39,"2,472",31,26.6,46.7,2020,PRIMEIRA LIGA
17,Portimonense,7,12,15,30,45,33,"2,042",32,25.5,51.1,2020,PRIMEIRA LIGA
1,Porto,26,4,4,74,22,82,"25,147",28,27.4,60.0,2020,PRIMEIRA LIGA
5,Rio Ave,15,10,9,48,36,55,"1,838",27,27.2,55.9,2020,PRIMEIRA LIGA
9,Santa Clara,11,10,13,36,41,43,"2,224",29,26.5,45.9,2020,PRIMEIRA LIGA
4,Sporting CP,18,6,10,49,34,60,"21,342",36,25.0,58.9,2020,PRIMEIRA LIGA
14,Tondela,9,9,16,30,44,36,"1,696",30,25.0,45.6,2020,PRIMEIRA LIGA
7,Vitória,13,11,10,53,38,50,"11,936",32,25.8,50.6,2020,PRIMEIRA LIGA
16,Vitória Setúbal,7,13,14,27,43,34,"3,268",31,27.7,44.8,2020,PRIMEIRA LIGA
