RANK,TEAM,W,D,L,GF,GA,PTS,ATT,PL,AGE,POSS,SEASON,LEAGUE
11,Akhmat Grozny,11,7,12,36,38,40,"6,385",32,26.7,48.3,2021,RPL
14,Arsenal Tula,6,5,19,28,51,23,"5,104",34,26.8,49.3,2021,RPL
6,CSKA Moscow,15,5,10,51,33,50,"8,185",28,25.0,54.0,2021,RPL
7,Dynamo Mosc,15,5,10,44,33,50,"7,176",30,25.5,52.0,2021,RPL
8,FC Khimki,13,6,11,35,39,45,"1,759",33,25.8,43.8,2021,RPL
10,Krasnodar,12,5,13,52,45,41,"10,024",32,27.6,60.8,2021,RPL
3,Loko Moscow,17,5,8,45,35,56,"6,560",29,27.5,54.8,2021,RPL
9,Rostov,13,4,13,37,35,43,"13,678",40,26.4,50.8,2021,RPL
15,Rotor Volgograd,5,7,18,15,52,22,"7,957",32,26.0,43.2,2021,RPL
4,Rubin Kazan,16,5,9,42,33,53,"6,832",26,25.5,48.5,2021,RPL
5,Sochi,15,8,7,49,33,53,"5,023",29,29.2,46.5,2021,RPL
2,Spartak Moscow,17,6,7,56,37,57,"8,683",28,24.3,58.4,2021,RPL
16,Tambov,3,4,23,19,65,13,"2,887",50,28.1,37.7,2021,RPL
13,Ufa,6,7,17,26,46,25,"4,227",36,27.5,43.8,2021,RPL
12,Ural,7,13,10,26,36,34,"7,089",33,28.6,51.0,2021,RPL
1,Zenit,19,8,3,76,26,65,"17,737",31,27.6,58.1,2021,RPL
13,Akhmat Grozny,7,10,13,27,46,31,"11,137",30,27.9,50.4,2020,RPL
8,Arsenal Tula,11,5,14,37,41,38,"8,433",32,27.5,49.1,2020,RPL
4,CSKA Moscow,14,8,8,43,29,50,"12,149",25,24.1,54.6,2020,RPL
6,Dynamo Mosc,11,8,11,27,30,41,"11,034",31,27.7,50.9,2020,RPL
3,Krasnodar,14,10,6,49,30,52,"21,524",31,26.4,60.4,2020,RPL
2,Loko Moscow,16,9,5,41,29,57,"10,797",28,27.9,53.6,2020,RPL
16,Orenburg,7,6,17,28,52,27,"3,448",32,27.5,44.4,2020,RPL
5,Rostov,12,9,9,45,50,45,"21,845",42,26.8,50.8,2020,RPL
10,Rubin Kazan,8,11,11,18,28,35,"6,739",32,24.3,52.1,2020,RPL
15,Samara,7,7,15,33,40,28,"13,347",30,28.3,46.0,2020,RPL
12,Sochi,8,9,12,40,39,33,"8,343",31,27.9,44.4,2020,RPL
7,Spartak Moscow,11,6,13,35,33,39,"21,837",34,23.7,53.6,2020,RPL
14,Tambov,9,4,17,37,41,31,"5,334",34,28.2,41.9,2020,RPL
9,Ufa,8,14,8,22,24,38,"5,761",30,26.2,41.3,2020,RPL
11,Ural,9,8,13,36,53,35,"12,899",30,28.6,48.5,2020,RPL
1,Zenit,22,6,2,65,18,72,"39,012",28,27.8,57.7,2020,RPL
8,Akhmat Grozny,11,9,10,28,30,42,"11,982",25,27.2,48.1,2019,RPL
15,Anzhi,5,6,19,13,50,21,"3,900",34,26.7,40.7,2019,RPL
6,Arsenal Tula,12,10,8,40,33,46,"11,561",25,27.0,48.3,2019,RPL
4,CSKA Moscow,14,9,7,46,23,51,"18,922",24,24.1,54.1,2019,RPL
12,Dynamo Mosc,6,15,9,28,28,33,"9,572",23,28.0,49.9,2019,RPL
3,Krasnodar,16,8,6,55,23,56,"25,947",28,26.9,60.9,2019,RPL
2,Loko Moscow,16,8,6,45,28,56,"15,045",24,28.5,53.8,2019,RPL
7,Orenburg,12,7,11,39,34,43,"4,950",23,28.6,43.2,2019,RPL
9,Rostov,10,11,9,25,23,41,"31,034",30,27.8,48.3,2019,RPL
11,Rubin Kazan,7,15,8,24,30,36,"12,567",27,26.4,50.5,2019,RPL
13,Samara,8,4,18,25,46,28,"19,182",33,28.6,49.3,2019,RPL
5,Spartak Moscow,14,7,9,36,31,49,"31,420",36,26.1,56.6,2019,RPL
14,Ufa,5,11,14,24,34,26,"7,681",29,27.2,45.3,2019,RPL
10,Ural,10,8,12,33,45,38,"15,753",27,28.5,50.5,2019,RPL
16,Yenisey,4,8,18,24,55,20,"7,326",31,29.1,48.3,2019,RPL
1,Zenit,20,4,6,57,29,64,"48,122",31,28.1,54.9,2019,RPL
9,Akhmat Grozny,10,9,11,30,34,39,"15,171",24,26.2,47.5,2018,RPL
13,Amkar Perm,9,8,13,20,30,35,"5,633",26,28.0,41.5,2018,RPL
14,Anzhi,6,6,18,31,55,24,"6,389",36,27.5,46.3,2018,RPL
7,Arsenal Tula,12,6,12,35,41,42,"11,926",27,28.0,48.5,2018,RPL
2,CSKA Moscow,17,7,6,49,23,58,"15,605",24,28.3,56.9,2018,RPL
8,Dynamo Mosc,10,10,10,29,30,40,"6,795",29,27.6,46.9,2018,RPL
4,Krasnodar,16,6,8,46,30,54,"25,032",28,27.4,59.4,2018,RPL
1,Loko Moscow,18,6,6,41,21,60,"12,708",24,28.5,53.6,2018,RPL
11,Rostov,9,10,11,27,28,37,"12,730",29,28.0,47.5,2018,RPL
10,Rubin Kazan,9,11,10,32,25,38,"9,706",33,28.3,52.1,2018,RPL
