RANK,TEAM,W,D,L,GF,GA,PTS,ATT,PL,AGE,POSS,SEASON,LEAGUE
3,Atalanta,23,9,6,90,47,78,105,30,27.3,54.9,2021,SERIE A
18,Benevento,7,12,19,40,75,33,158,29,28.7,42.3,2021,SERIE A
12,Bologna,10,11,17,51,65,41,105,37,27.2,50.9,2021,SERIE A
16,Cagliari,9,10,19,43,59,37,105,32,26.5,44.6,2021,SERIE A
19,Crotone,6,5,27,45,92,23,53,31,27.8,46.4,2021,SERIE A
13,Fiorentina,9,13,16,47,59,40,105,30,26.6,46.2,2021,SERIE A
11,Genoa,10,12,16,47,58,42,53,34,28.3,44.7,2021,SERIE A
10,Hellas Verona,11,12,15,46,48,45,611,32,26.2,49.8,2021,SERIE A
1,Inter,28,7,3,89,35,91,158,25,27.7,52.4,2021,SERIE A
4,Juventus,23,9,6,77,38,78,105,30,27.7,57.1,2021,SERIE A
6,Lazio,21,5,12,61,55,68,158,30,29.4,53.1,2021,SERIE A
2,Milan,24,7,7,74,41,79,105,29,24.4,51.9,2021,SERIE A
5,Napoli,24,5,9,86,41,77,105,25,27.1,55.2,2021,SERIE A
20,Parma,3,11,24,39,83,20,158,42,28.0,47.7,2021,SERIE A
7,Roma,18,8,12,68,58,62,105,31,26.7,52.5,2021,SERIE A
9,Sampdoria,15,7,16,52,54,52,105,27,27.9,45.1,2021,SERIE A
8,Sassuolo,17,11,10,64,56,62,134,28,26.5,60.8,2021,SERIE A
15,Spezia,9,12,17,52,72,39,105,35,25.2,52.2,2021,SERIE A
17,Torino,7,16,15,50,69,37,105,29,26.9,47.2,2021,SERIE A
14,Udinese,10,10,18,42,58,40,158,33,27.2,46.1,2021,SERIE A
3,Atalanta,23,9,6,98,48,78,"11,167",30,27.2,57.8,2020,SERIE A
12,Bologna,12,11,15,52,65,47,"15,774",31,27.2,52.9,2020,SERIE A
19,Brescia,6,7,25,35,79,25,"10,050",32,25.6,40.3,2020,SERIE A
14,Cagliari,11,12,15,52,56,45,"10,728",33,27.4,45.5,2020,SERIE A
10,Fiorentina,12,13,13,51,48,49,"22,486",33,25.1,47.3,2020,SERIE A
17,Genoa,10,9,19,47,73,39,"14,016",34,26.8,49.5,2020,SERIE A
9,Hellas Verona,12,13,13,47,51,49,"11,248",30,26.1,49.8,2020,SERIE A
2,Inter,24,10,4,81,36,82,"41,558",29,27.7,54.2,2020,SERIE A
1,Juventus,26,5,7,76,43,83,"25,102",30,28.6,58.3,2020,SERIE A
4,Lazio,24,6,8,79,42,78,"26,363",27,27.9,50.5,2020,SERIE A
18,Lecce,9,8,21,52,85,35,"15,939",30,28.7,44.6,2020,SERIE A
6,Milan,19,9,10,63,46,66,"34,078",32,24.6,55.1,2020,SERIE A
7,Napoli,18,8,12,61,50,62,"21,622",25,26.9,59.5,2020,SERIE A
11,Parma,14,7,17,56,57,49,"10,245",25,28.8,43.6,2020,SERIE A
5,Roma,21,7,10,77,51,70,"26,956",31,26.9,52.9,2020,SERIE A
20,SPAL,5,5,28,27,77,20,"8,241",34,27.5,46.8,2020,SERIE A
15,Sampdoria,12,6,20,48,65,42,"13,700",31,26.0,42.4,2020,SERIE A
8,Sassuolo,14,9,15,69,63,51,"7,704",31,26.4,57.8,2020,SERIE A
16,Torino,11,7,20,46,68,40,"13,338",27,27.3,47.5,2020,SERIE A
13,Udinese,12,9,17,37,51,45,"13,841",25,26.5,44.7,2020,SERIE A
3,Atalanta,20,9,9,77,46,69,"18,301",27,26.5,57.8,2019,SERIE A
10,Bologna,11,11,16,48,56,44,"21,237",29,27.0,44.7,2019,SERIE A
15,Cagliari,10,11,17,36,54,41,"15,396",30,27.9,50.0,2019,SERIE A
20,Chievo,2,14,22,25,75,17,"12,142",36,28.3,43.1,2019,SERIE A
18,Empoli,10,8,20,51,70,38,"9,620",29,26.4,47.9,2019,SERIE A
16,Fiorentina,8,17,13,47,45,41,"31,178",27,24.1,50.7,2019,SERIE A
19,Frosinone,5,10,23,29,69,25,"12,656",33,26.4,41.1,2019,SERIE A
17,Genoa,8,14,16,39,57,38,"20,950",31,26.0,43.1,2019,SERIE A
4,Inter,20,9,9,57,33,69,"57,405",23,27.7,59.6,2019,SERIE A
1,Juventus,28,6,4,70,30,90,"37,799",31,28.0,56.2,2019,SERIE A
8,Lazio,17,8,13,56,46,59,"33,997",30,27.9,50.8,2019,SERIE A
5,Milan,19,11,8,55,36,68,"54,651",23,24.8,54.2,2019,SERIE A
2,Napoli,24,7,7,74,36,79,"29,003",26,27.0,59.4,2019,SERIE A
14,Parma,10,11,17,41,61,41,"16,522",31,29.4,37.3,2019,SERIE A
6,Roma,18,12,8,66,48,66,"38,622",26,27.5,51.7,2019,SERIE A
13,SPAL,11,9,18,44,56,42,"14,745",28,27.8,50.6,2019,SERIE A
9,Sampdoria,15,8,15,60,51,53,"20,263",24,26.1,55.3,2019,SERIE A
11,Sassuolo,9,16,13,53,60,43,"12,369",29,25.4,54.0,2019,SERIE A
7,Torino,16,15,7,52,37,63,"21,323",25,27.6,51.4,2019,SERIE A
12,Udinese,11,10,17,39,53,43,"20,414",31,25.3,42.4,2019,SERIE A
7,Atalanta,16,12,10,57,39,60,"17,921",25,25.7,55.2,2018,SERIE A
20,Benevento,6,3,29,33,84,21,"12,132",41,26.0,47.7,2018,SERIE A
15,Bologna,11,6,21,40,52,39,"20,903",30,26.8,47.2,2018,SERIE A
16,Cagliari,11,6,21,33,61,39,"14,685",29,27.1,45.2,2018,SERIE A
13,Chievo,10,10,18,36,59,40,"12,540",25,30.3,44.3,2018,SERIE A
18,Crotone,9,8,21,40,66,35,"10,581",29,25.6,40.1,2018,SERIE A
8,Fiorentina,16,9,13,54,46,57,"26,092",27,25.0,52.6,2018,SERIE A
12,Genoa,11,8,19,33,43,41,"20,941",33,27.9,46.3,2018,SERIE A
19,Hellas Verona,7,4,27,30,78,25,"17,333",32,25.9,41.8,2018,SERIE A
4,Inter,20,12,6,66,30,72,"57,529",22,27.6,56.9,2018,SERIE A
1,Juventus,30,5,3,86,24,95,"39,316",24,29.2,57.1,2018,SERIE A
5,Lazio,21,9,8,89,49,72,"30,990",24,26.5,51.1,2018,SERIE A
6,Milan,18,10,10,56,42,64,"52,690",23,25.0,55.9,2018,SERIE A
